nota_fiscal,vendedor,total
1,Clarabelle,159.38
2,Berk,144.3
3,Kiri,302.49
4,Brigitta,381.61
5,Barret,277.63
6,Kippy,189.82
7,Alic,474.49
8,Mellicent,352.09
9,Ethan,497.09
10,Elyssa,110.38
11,Georg,285.82
12,Wait,501.71
13,Clemens,283.34
14,Ann-marie,145.73
15,Hunt,160.64
16,Myranda,332.8
17,Dannye,195.75
18,Catlaina,512.08
19,Eugenius,400.2
20,Hanson,99.85
21,Cassaundra,425.27
22,Grantley,429.43
23,Cyndi,237.26
24,Miguel,542.36
25,Killy,583.41
26,Terence,378.45
27,Britt,315.99
28,Lanni,305.48
29,Collin,309.09
30,Edwin,281.83
31,Creighton,299.75
32,Venita,450.47
33,Barron,516.35
34,Daune,171.18
35,Mala,434.73
36,Jdavie,311.98
37,Vassili,199.07
38,Flin,162.01
39,Inge,191.52
40,Ole,541.71
41,Emogene,197.56
42,Ema,268.77
43,Waylan,475.61
44,Erich,336.73
45,Kristy,495.2
46,Margo,373.81
47,Christoforo,266.2
48,Cathlene,335.5
49,Barnebas,108.33
50,Kris,372.96
51,Alva,414.26
52,Melonie,341.4
53,Giovanni,373.64
54,Friedrich,421.34
55,Ginger,175.22
56,Perle,537.8
57,Alicea,137.53
58,Blake,398.8
59,Roseanna,596.27
60,,275.25
61,Husein,472.16
62,Belinda,206.62
63,Cordie,141.57
64,Mortie,224.04
65,Charmane,102.55
66,Ingunna,220.96
67,Armin,508.6
68,Konstance,582.26
69,Marlo,422.94
70,Bevan,564.25
71,Zandra,177.18
72,Ruthanne,417.23
73,Shelley,424.12
74,Lynea,418.25
75,Garrick,586.95
76,Lee,317.81
77,Ewell,388.96
78,Dody,564.77
79,Dulcy,376.44
80,Philly,161.85
81,Cornelius,440.7
82,Horst,539.39
83,Amye,202.67
84,Lurleen,302.47
85,Mariel,221.69
86,Sylvester,569.48
87,Karrah,215.46
88,Cordie,301.26
89,Timmi,217.3
90,Malena,424.86
91,Justin,544.91
92,Reggie,423.16
93,Stanislas,551.21
94,Kathrine,517.23
95,Kory,516.12
96,Rubina,277.81
97,Frances,276.97
98,Thorvald,293.31
99,Rouvin,489.35
100,Ezri,528.25
101,Geoff,400.16
102,Lucas,252.44
103,Aymer,161.54
104,Margeaux,466.13
105,Lauree,128.88
106,Mallory,416.55
107,Renault,211.15
108,Shanna,388.88
109,Colin,225.47
110,Alis,391.56
111,Martynne,214.19
112,Grange,346.64
113,Arlinda,345.75
114,Rycca,136.2
115,Donella,251.89
116,Lynelle,593.13
117,,367.04
118,Marnia,102.17
119,Bradley,415.59
120,Winnie,598.84
121,,215.35
122,Nonnah,562.95
123,Gael,432.97
124,Sauveur,388.39
125,Bowie,458.63
126,Marie-jeanne,564.46
127,Violetta,125.25
128,Dory,227.73
129,,323.87
130,Bonnie,113.0
131,Brit,434.87
132,Baldwin,122.82
133,Bronny,240.55
134,Collette,470.51
135,Nanete,209.5
136,Andrey,212.68
137,Trista,263.85
138,Fleming,421.68
139,Reagen,130.4
140,Kirby,216.07
141,,98.12
142,Katherine,355.17
143,Esther,493.72
144,Charlton,402.16
145,Maddie,256.32
146,Inness,543.25
147,Saunders,408.66
148,Abigail,217.31
149,Rouvin,477.6
150,Joan,287.75
151,Rafaelita,200.35
152,Urbano,138.38
153,Moore,443.54
154,Haroun,591.75
155,Ogdon,330.28
156,Mella,497.37
157,Colan,232.52
158,Chen,368.22
159,Elyssa,482.56
160,Isabelita,239.89
161,Dawna,401.46
162,Selestina,464.16
163,Brody,144.35
164,Janene,318.1
165,Randie,310.26
166,Noby,200.79
167,Helge,366.44
168,Spencer,224.37
169,Anne,545.73
170,Mariska,485.75
171,Lucho,166.09
172,Damon,352.96
173,Shandee,142.1
174,Harriott,162.14
175,Edgard,292.39
176,Florrie,332.39
177,Ortensia,362.11
178,Trixie,192.62
179,Sheila-kathryn,318.35
180,Paton,184.9
181,Bartlett,204.41
182,Neda,255.93
183,Jorey,597.08
184,Kesley,301.02
185,Paule,284.95
186,Leon,399.66
187,Denny,575.03
188,Doralia,581.73
189,Shirley,265.53
190,Reba,433.06
191,Papageno,570.48
192,Erny,439.64
193,Tracee,271.13
194,Kellsie,456.36
195,,247.48
196,Katrine,423.37
197,Christen,332.63
198,Aurlie,411.86
199,Leopold,428.65
200,Fletch,479.8
201,Any,569.2
202,Salem,223.21
203,Sophi,475.48
204,Clarissa,380.7
205,Cara,430.23
206,Rozelle,304.98
207,Adamo,389.45
208,Karel,455.52
209,Carmita,518.5
210,Herta,209.87
211,Hunter,416.19
212,Frederica,372.0
213,Xena,357.11
214,Wandie,522.81
215,Benji,485.17
216,Tildie,518.14
217,Lotte,511.98
218,Carmella,479.73
219,Janek,340.37
220,Jermaine,450.16
221,Jed,535.47
222,Christophe,280.17
223,Sophia,407.69
224,Othello,179.8
225,Hayyim,492.52
226,Ashil,153.51
227,Weidar,259.23
228,Delcina,296.59
229,Cthrine,376.5
230,Gerek,106.21
231,Aveline,262.03
232,Bartolomeo,321.88
233,Shalna,364.8
234,Courtnay,151.57
235,Ricki,376.88
236,Jennifer,152.41
237,Garry,403.78
238,Davida,169.58
239,Darcee,395.49
240,Mitch,201.99
241,Isahella,292.95
242,Booth,448.37
243,Bili,400.77
244,Toiboid,563.71
245,Karen,110.36
246,Oliver,232.86
247,Monah,141.62
248,Patricia,547.51
249,Saree,264.24
250,Osbourne,175.9
251,Perri,500.43
252,Tobe,317.75
253,Bertram,593.0
254,Bob,258.0
255,Ardys,354.14
256,Giana,450.47
257,Meyer,330.04
258,Whitby,435.08
259,Sibyl,428.56
260,Hilda,420.35
261,Allegra,149.67
262,Flin,189.77
263,Shem,570.42
264,Odella,197.67
265,Alister,314.3
266,Eduard,510.64
267,Starlin,577.42
268,Eddie,425.12
269,Charis,570.98
270,Dacie,506.04
271,Chas,138.85
272,Walden,203.91
273,Alastair,555.48
274,Nicoli,463.26
275,Mitch,386.99
276,Bartolomeo,496.48
277,Guillemette,428.62
278,Jackson,131.5
279,Barrie,489.6
280,Caesar,408.64
281,Audrey,366.33
282,Therese,395.22
283,Celina,190.14
284,Sancho,558.04
285,Reyna,540.14
286,Susana,365.86
287,Berti,316.03
288,Celestyn,211.74
289,Yves,211.51
290,Diego,511.4
291,Asa,384.61
292,Barde,438.32
293,Elayne,329.67
294,Noell,373.42
295,Carroll,446.09
296,Bebe,472.61
297,Allsun,473.99
298,Emilie,266.41
299,Bernhard,220.93
300,Maurine,430.06
301,Sal,580.49
302,Maybelle,235.95
303,Serge,283.37
304,Riane,340.25
305,Kipp,560.44
306,Betteann,347.66
307,Sheba,357.43
308,Nate,269.48
309,Gilly,242.31
310,Casey,122.13
311,Idalia,249.81
312,Quint,522.56
313,Corbie,392.07
314,,520.05
315,Gabby,566.44
316,Kiley,494.58
317,,211.69
318,Carie,194.71
319,Anthony,464.89
320,,523.01
321,Felisha,152.24
322,Coletta,334.68
323,Silas,190.01
324,Lorianne,383.04
325,Codie,346.14
326,Lynnet,486.07
327,Tory,412.69
328,Agnesse,486.6
329,Griffith,577.88
330,Inge,140.29
331,Randell,572.61
332,Rudyard,590.24
333,Gradey,411.73
334,Sharity,157.57
335,Randy,592.63
336,Zarah,404.69
337,Cull,209.96
338,Rowe,301.11
339,Ardene,164.59
340,Enoch,491.14
341,Emmye,269.85
342,Enos,472.37
343,Aliza,288.58
344,Lise,525.22
345,Maynord,296.51
346,Drusie,571.14
347,Salaidh,189.55
348,Courtney,131.7
349,Shantee,311.3
350,Calv,321.13
351,Mendy,365.95
352,Zacharia,167.66
353,Rafa,270.17
354,Albie,553.41
355,Pier,505.44
356,Hector,382.56
357,Eudora,582.11
358,Carin,216.82
359,Chet,580.47
360,Suzie,350.31
361,,469.64
362,Filide,297.0
363,Carla,152.38
364,Penny,379.03
365,Sandie,169.82
366,Alejoa,196.04
367,Robenia,406.45
368,Marilin,471.06
369,Maddi,327.15
370,Krispin,236.87
371,Joyann,468.9
372,Feliza,368.47
373,Waylan,592.22
374,Calv,285.35
375,Meridith,289.49
376,Beverlee,199.1
377,Kingsley,265.39
378,Boniface,133.95
379,Allin,460.63
380,Natasha,432.98
381,Frants,353.33
382,Ewart,435.55
383,Harbert,489.34
384,Salomone,295.86
385,Ida,483.95
386,Ysabel,106.08
387,,202.72
388,Brucie,124.98
389,Frannie,98.37
390,Orland,107.82
391,Lusa,179.83
392,Ruthe,221.76
393,Lenore,563.19
394,Shalna,159.8
395,Holly,155.26
396,Hertha,362.82
397,Lionel,189.53
398,Tully,173.28
399,Isabelle,305.88
400,Titos,231.76
401,Lew,316.52
402,,487.67
403,Elena,345.76
404,Dido,339.36
405,Christel,376.23
406,Bartram,464.57
407,Gibby,229.83
408,Lucho,485.91
409,Waylon,215.88
410,Conchita,327.54
411,Gibby,177.15
412,Jemmie,274.08
413,Quint,527.59
414,Margarete,280.22
415,Paule,400.9
416,Bob,231.35
417,Perry,196.33
418,Odell,213.91
419,Nannie,407.1
420,Letti,526.64
421,Claudelle,249.08
422,Gaspar,553.17
423,Elyn,355.04
424,Claybourne,407.91
425,Elenore,557.39
426,Angie,498.29
427,Virginia,203.18
